label|score|source|source_id|source_type|source_url|target_id|target_type|taxon_id
coexpressed_with|2.88|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000135218|gene|9606
coexpressed_with|2.85|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000165507|gene|9606
coexpressed_with|2.83|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000159403|gene|9606
coexpressed_with|2.82|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000107796|gene|9606
coexpressed_with|2.81|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000173372|gene|9606
coexpressed_with|2.8|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000204136|gene|9606
coexpressed_with|2.8|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000213949|gene|9606
coexpressed_with|2.8|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000173269|gene|9606
coexpressed_with|2.79|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000106819|gene|9606
coexpressed_with|2.78|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000179776|gene|9606
coexpressed_with|2.77|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000136235|gene|9606
coexpressed_with|2.76|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000069122|gene|9606
coexpressed_with|2.74|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000260314|gene|9606
coexpressed_with|2.73|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000139173|gene|9606
coexpressed_with|2.71|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000176435|gene|9606
coexpressed_with|2.7|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000006210|gene|9606
coexpressed_with|2.69|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000179855|gene|9606
coexpressed_with|2.69|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000153071|gene|9606
coexpressed_with|2.68|CoXPresdb|ENSG00000175899|gene|https://coxpresdb.jp/|ENSG00000150048|gene|9606
