label|source_id|source_type|target_id|target_type
transcribes_to|ENSG00000224961|gene|ENST00000654385|transcript
transcribes_to|ENSG00000234900|gene|ENST00000418690|transcript
transcribes_to|ENSG00000232900|gene|ENST00000448859|transcript
transcribes_to|ENSG00000232900|gene|ENST00000668688|transcript
transcribes_to|ENSG00000232900|gene|ENST00000654048|transcript
transcribes_to|ENSG00000232900|gene|ENST00000665099|transcript
transcribes_to|ENSG00000232900|gene|ENST00000657181|transcript
transcribes_to|ENSG00000232900|gene|ENST00000667238|transcript
transcribes_to|ENSG00000232900|gene|ENST00000666969|transcript
transcribes_to|ENSG00000232900|gene|ENST00000660168|transcript
transcribes_to|ENSG00000232900|gene|ENST00000663948|transcript
transcribes_to|ENSG00000232900|gene|ENST00000653164|transcript
transcribes_to|ENSG00000232900|gene|ENST00000655050|transcript
transcribes_to|ENSG00000232900|gene|ENST00000655890|transcript
transcribes_to|ENSG00000232900|gene|ENST00000656902|transcript
transcribes_to|ENSG00000232900|gene|ENST00000653414|transcript
transcribes_to|ENSG00000232900|gene|ENST00000656524|transcript
transcribes_to|ENSG00000232900|gene|ENST00000665608|transcript
transcribes_to|ENSG00000232900|gene|ENST00000662420|transcript
transcribes_to|ENSG00000232900|gene|ENST00000657238|transcript
transcribes_to|ENSG00000232900|gene|ENST00000663360|transcript
transcribes_to|ENSG00000217809|gene|ENST00000406588|transcript
transcribes_to|ENSG00000125899|gene|ENST00000659767|transcript
transcribes_to|ENSG00000125899|gene|ENST00000662726|transcript
transcribes_to|ENSG00000125899|gene|ENST00000378252|transcript
transcribes_to|ENSG00000270777|gene|ENST00000605338|transcript
transcribes_to|ENSG00000230990|gene|ENST00000444792|transcript
transcribes_to|ENSG00000230990|gene|ENST00000666460|transcript
transcribes_to|ENSG00000230990|gene|ENST00000412405|transcript
transcribes_to|ENSG00000230990|gene|ENST00000667330|transcript
transcribes_to|ENSG00000235544|gene|ENST00000451072|transcript
transcribes_to|ENSG00000282478|gene|ENST00000632608|transcript
transcribes_to|ENSG00000287754|gene|ENST00000661821|transcript
transcribes_to|ENSG00000271397|gene|ENST00000603272|transcript
transcribes_to|ENSG00000237256|gene|ENST00000437662|transcript
transcribes_to|ENSG00000261411|gene|ENST00000569833|transcript
transcribes_to|ENSG00000228422|gene|ENST00000558175|transcript
transcribes_to|ENSG00000228422|gene|ENST00000663254|transcript
transcribes_to|ENSG00000228422|gene|ENST00000659465|transcript
transcribes_to|ENSG00000228422|gene|ENST00000427835|transcript
transcribes_to|ENSG00000228422|gene|ENST00000656506|transcript
transcribes_to|ENSG00000228422|gene|ENST00000557899|transcript
transcribes_to|ENSG00000228422|gene|ENST00000666572|transcript
transcribes_to|ENSG00000228422|gene|ENST00000668731|transcript
transcribes_to|ENSG00000222281|gene|ENST00000410349|transcript
transcribes_to|ENSG00000271298|gene|ENST00000605565|transcript
transcribes_to|ENSG00000132640|gene|ENST00000254977|transcript
transcribes_to|ENSG00000132640|gene|ENST00000399006|transcript
transcribes_to|ENSG00000132640|gene|ENST00000405977|transcript
transcribes_to|ENSG00000132640|gene|ENST00000618918|transcript
transcribes_to|ENSG00000132640|gene|ENST00000618296|transcript
transcribes_to|ENSG00000132640|gene|ENST00000378226|transcript
transcribes_to|ENSG00000132640|gene|ENST00000488503|transcript
transcribes_to|ENSG00000132640|gene|ENST00000471120|transcript
transcribes_to|ENSG00000132640|gene|ENST00000473416|transcript
transcribes_to|ENSG00000132640|gene|ENST00000473180|transcript
transcribes_to|ENSG00000236526|gene|ENST00000439529|transcript
transcribes_to|ENSG00000235292|gene|ENST00000654812|transcript
transcribes_to|ENSG00000235292|gene|ENST00000455132|transcript
transcribes_to|ENSG00000230437|gene|ENST00000442389|transcript
transcribes_to|ENSG00000235698|gene|ENST00000414718|transcript
transcribes_to|ENSG00000233048|gene|ENST00000456265|transcript
transcribes_to|ENSG00000269931|gene|ENST00000602702|transcript
transcribes_to|ENSG00000269931|gene|ENST00000651426|transcript
transcribes_to|ENSG00000286087|gene|ENST00000651029|transcript
transcribes_to|ENSG00000234265|gene|ENST00000660848|transcript
transcribes_to|ENSG00000234265|gene|ENST00000666864|transcript
transcribes_to|ENSG00000234265|gene|ENST00000660733|transcript
transcribes_to|ENSG00000234265|gene|ENST00000655843|transcript
transcribes_to|ENSG00000234265|gene|ENST00000432244|transcript
transcribes_to|ENSG00000234265|gene|ENST00000661302|transcript
transcribes_to|ENSG00000234265|gene|ENST00000664230|transcript
transcribes_to|ENSG00000234265|gene|ENST00000668019|transcript
transcribes_to|ENSG00000234265|gene|ENST00000658737|transcript
transcribes_to|ENSG00000234265|gene|ENST00000658457|transcript
transcribes_to|ENSG00000234265|gene|ENST00000654168|transcript
transcribes_to|ENSG00000234265|gene|ENST00000669657|transcript
transcribes_to|ENSG00000234265|gene|ENST00000669978|transcript
transcribes_to|ENSG00000234265|gene|ENST00000670547|transcript
transcribes_to|ENSG00000234265|gene|ENST00000671262|transcript
transcribes_to|ENSG00000172296|gene|ENST00000399002|transcript
transcribes_to|ENSG00000172296|gene|ENST00000476791|transcript
transcribes_to|ENSG00000197976|gene|ENST00000313871|transcript
transcribes_to|ENSG00000197976_PAR_Y|gene|ENST00000313871_PAR_Y|transcript
