label|rel_type|source|source_id|source_type|source_url|target_id|target_type
part_of|part_of|Cell Ontology|CL_0000317|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001821|anatomy
part_of|part_of|Cell Ontology|CL_0000322|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0004821|anatomy
part_of|part_of|Cell Ontology|CL_0000336|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001236|anatomy
part_of|part_of|Cell Ontology|CL_0000345|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001763|anatomy
part_of|part_of|Cell Ontology|CL_0000346|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000412|anatomy
part_of|part_of|Cell Ontology|CL_0000347|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001773|anatomy
part_of|part_of|Cell Ontology|CL_0000348|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001776|anatomy
part_of|part_of|Cell Ontology|CL_0000349|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000478|anatomy
part_of|part_of|Cell Ontology|CL_0000350|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0010302|anatomy
part_of|part_of|Cell Ontology|CL_0000355|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001134|anatomy
part_of|part_of|Cell Ontology|CL_0000358|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0004590|anatomy
part_of|part_of|Cell Ontology|CL_0000359|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002049|anatomy
part_of|part_of|Cell Ontology|CL_0000360|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000085|anatomy
part_of|part_of|Cell Ontology|CL_0000361|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0004734|anatomy
part_of|part_of|Cell Ontology|CL_0000362|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0007376|anatomy
part_of|part_of|Cell Ontology|CL_0000382|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001038|anatomy
part_of|part_of|Cell Ontology|CL_0000388|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000043|anatomy
part_of|part_of|Cell Ontology|CL_0000407|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001038|anatomy
part_of|part_of|Cell Ontology|CL_0000429|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000939|anatomy
part_of|part_of|Cell Ontology|CL_0000436|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000996|anatomy
part_of|part_of|Cell Ontology|CL_0000446|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0011197|anatomy
part_of|part_of|Cell Ontology|CL_0000448|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001347|anatomy
part_of|part_of|Cell Ontology|CL_0000449|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001348|anatomy
part_of|part_of|Cell Ontology|CL_0000477|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000992|anatomy
part_of|part_of|Cell Ontology|CL_0000484|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002384|anatomy
part_of|part_of|Cell Ontology|CL_0000485|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001961|anatomy
part_of|part_of|Cell Ontology|CL_0000503|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000155|anatomy
part_of|part_of|Cell Ontology|CL_0000510|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0011184|anatomy
part_of|part_of|Cell Ontology|CL_0000513|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001133|anatomy
part_of|part_of|Cell Ontology|CL_0000525|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000371|anatomy
part_of|part_of|Cell Ontology|CL_0000557|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002371|anatomy
part_of|part_of|Cell Ontology|CL_0000561|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000966|anatomy
part_of|part_of|Cell Ontology|CL_0000570|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001747|anatomy
part_of|part_of|Cell Ontology|CL_0000575|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001772|anatomy
part_of|part_of|Cell Ontology|CL_0000577|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0004786|anatomy
part_of|part_of|Cell Ontology|CL_0000622|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0009842|anatomy
part_of|part_of|Cell Ontology|CL_0000632|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002107|anatomy
part_of|part_of|Cell Ontology|CL_0000636|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000966|anatomy
part_of|part_of|Cell Ontology|CL_0000637|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002196|anatomy
part_of|part_of|Cell Ontology|CL_0000638|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0006964|anatomy
part_of|part_of|Cell Ontology|CL_0000642|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002196|anatomy
part_of|part_of|Cell Ontology|CL_0000644|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002979|anatomy
part_of|part_of|Cell Ontology|CL_0000645|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002198|anatomy
part_of|part_of|Cell Ontology|CL_0000648|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002113|anatomy
part_of|part_of|Cell Ontology|CL_0000649|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002026|anatomy
part_of|part_of|Cell Ontology|CL_0000650|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0002319|anatomy
part_of|part_of|Cell Ontology|CL_0000652|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001905|anatomy
part_of|part_of|Cell Ontology|CL_0000653|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0005751|anatomy
part_of|part_of|Cell Ontology|CL_0000670|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0000922|anatomy
part_of|part_of|Cell Ontology|CL_0000673|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001058|anatomy
part_of|part_of|Cell Ontology|CL_0000677|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0001277|anatomy
part_of|part_of|Cell Ontology|CL_0000682|cell_type|http://purl.obolibrary.org/obo/cl.owl|UBERON_0004693|anatomy
