id|source|source_url|term_name
CHEBI_26935|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_27325|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_27547|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_27584|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_28017|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_28087|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_28838|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_28868|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_28938|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_29067|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_29101|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_29103|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_29108|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_29985|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_30212|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_30616|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_30879|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_3098|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_32952|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_32988|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_3306|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
CHEBI_33504|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|
