database|detection_method|evidence|evidence_type|label|source|source_id|source_type|source_url|target_id|target_type|taxon_id
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:19148141"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000111704|gene|tflink.net|ENSG00000107984|gene|9606
"[""GTRD"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17202159"", ""pubmed:12839938"", ""pubmed:29087512"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000132170|gene|tflink.net|ENSG00000077092|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000118513|gene|tflink.net|ENSG00000185591|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:20565746""]"|small_scale_evidence|regulates|TFLink|ENSG00000078399|gene|tflink.net|ENSG00000115738|gene|9606
"[""GTRD"", ""PAZAR"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:11477071"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000091831|gene|tflink.net|ENSG00000171223|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000141510|gene|tflink.net|ENSG00000153933|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000172819|gene|tflink.net|ENSG00000177606|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000123268|gene|tflink.net|ENSG00000140538|gene|9606
"[""TFactS_via_DoRothea""]"|inferred by curator|"[""pubmed:11279127"", ""pubmed:22761861""]"|small_scale_evidence|regulates|TFLink|ENSG00000101665|gene|tflink.net|ENSG00000108821|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:21593445""]"|small_scale_evidence|regulates|TFLink|ENSG00000197933|gene|tflink.net|ENSG00000169429|gene|9606
"[""GTRD"", ""ORegAnno"", ""ReMap""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22951020"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:26578589""]"|small_scale_evidence|regulates|TFLink|ENSG00000100811|gene|tflink.net|ENSG00000073921|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:15356291"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000081189|gene|tflink.net|ENSG00000205560|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:11418607"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000113580|gene|tflink.net|ENSG00000145113|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000169083|gene|tflink.net|ENSG00000118137|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:16494870"", ""pubmed:29126285"", ""pubmed:20610535"", ""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000169083|gene|tflink.net|ENSG00000163565|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000100170|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:19156404"", ""pubmed:18555777"", ""pubmed:29087512"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000173039|gene|tflink.net|ENSG00000180871|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:21129147"", ""pubmed:29126285"", ""pubmed:17150917"", ""pubmed:29087512"", ""pubmed:23848403""]"|small_scale_evidence|regulates|TFLink|ENSG00000159216|gene|tflink.net|ENSG00000163737|gene|9606
"[""GTRD"", ""ReMap"", ""TFactS_via_DoRothea""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:22761861"", ""pubmed:27924024"", ""pubmed:10489374"", ""pubmed:15473860""]"|small_scale_evidence|regulates|TFLink|ENSG00000148737|gene|tflink.net|ENSG00000081059|gene|9606
"[""GTRD"", ""IntAct_via_DoRothEA""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:24234451"", ""pubmed:24434208""]"|small_scale_evidence|regulates|TFLink|ENSG00000173473|gene|tflink.net|ENSG00000039068|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000101412|gene|tflink.net|ENSG00000147853|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000137409|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:29126285"", ""pubmed:9706399"", ""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000172216|gene|tflink.net|ENSG00000163220|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:27924024"", ""pubmed:22327296""]"|small_scale_evidence|regulates|TFLink|ENSG00000133895|gene|tflink.net|ENSG00000130522|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:12783851"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000100146|gene|tflink.net|ENSG00000204248|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:21072196""]"|small_scale_evidence|regulates|TFLink|ENSG00000144852|gene|tflink.net|ENSG00000006327|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000141510|gene|tflink.net|ENSG00000197579|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000141646|gene|tflink.net|ENSG00000168036|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:20610535"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000169083|gene|tflink.net|ENSG00000104368|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:24821775"", ""pubmed:29126285""]"|small_scale_evidence|regulates|TFLink|ENSG00000112182|gene|tflink.net|ENSG00000100219|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:27924024"", ""pubmed:19755485""]"|small_scale_evidence|regulates|TFLink|ENSG00000124440|gene|tflink.net|ENSG00000116016|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000091831|gene|tflink.net|ENSG00000126561|gene|9606
"[""GTRD"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:10748079"", ""pubmed:29126285"", ""pubmed:10688670"", ""pubmed:20068037"", ""pubmed:27924024"", ""pubmed:10913190"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000115966|gene|tflink.net|ENSG00000232810|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000137203|gene|tflink.net|ENSG00000173801|gene|9606
"[""GTRD"", ""ORegAnno"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:18206366"", ""pubmed:26578589"", ""pubmed:27924024"", ""pubmed:15691879"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000133315|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:11429551"", ""pubmed:10886240"", ""pubmed:9300692"", ""pubmed:27924024"", ""pubmed:11889043"", ""pubmed:29087512"", ""pubmed:9600954""]"|small_scale_evidence|regulates|TFLink|ENSG00000179583|gene|tflink.net|ENSG00000204287|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:20565746""]"|small_scale_evidence|regulates|TFLink|ENSG00000253293|gene|tflink.net|ENSG00000115738|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:18496767"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000001167|gene|tflink.net|ENSG00000203883|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:14563113""]"|small_scale_evidence|regulates|TFLink|ENSG00000179583|gene|tflink.net|ENSG00000117560|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:10074115""]"|small_scale_evidence|regulates|TFLink|ENSG00000104825|gene|tflink.net|ENSG00000171855|gene|9606
"[""GTRD"", ""IntAct_via_DoRothEA"", ""ReMap""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:24234451"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:19299714""]"|small_scale_evidence|regulates|TFLink|ENSG00000095794|gene|tflink.net|ENSG00000114013|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:22580340"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000103342|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000205250|gene|tflink.net|ENSG00000134871|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:29087512"", ""pubmed:8055899""]"|small_scale_evidence|regulates|TFLink|ENSG00000179284|gene|tflink.net|ENSG00000177030|gene|9606
"[""TRED"", ""TRRUST""]"|inferred by curator|"[""pubmed:17202159"", ""pubmed:10523830"", ""pubmed:29087512"", ""pubmed:12724402""]"|small_scale_evidence|regulates|TFLink|ENSG00000151702|gene|tflink.net|ENSG00000102145|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:24007274""]"|small_scale_evidence|regulates|TFLink|ENSG00000122877|gene|tflink.net|ENSG00000128342|gene|9606
"[""FANTOM4_via_DoRothEA""]"|inferred by curator|"[""pubmed:15062550"", ""pubmed:20211142""]"|small_scale_evidence|regulates|TFLink|ENSG00000125618|gene|tflink.net|ENSG00000152804|gene|9606
"[""GTRD"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:20137375"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000173039|gene|tflink.net|ENSG00000100889|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:19828020"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000100644|gene|tflink.net|ENSG00000095066|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:11433027""]"|small_scale_evidence|regulates|TFLink|ENSG00000179284|gene|tflink.net|ENSG00000100479|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000118260|gene|tflink.net|ENSG00000153563|gene|9606
"[""GTRD"", ""HTRI"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17671431"", ""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:18504435"", ""pubmed:17531812"", ""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000205250|gene|tflink.net|ENSG00000089685|gene|9606
"[""GTRD"", ""IntAct_via_DoRothEA"", ""ReMap""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:20478527"", ""pubmed:27924024"", ""pubmed:24234451""]"|small_scale_evidence|regulates|TFLink|ENSG00000157554|gene|tflink.net|ENSG00000157343|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22517897"", ""pubmed:29087512"", ""pubmed:29126285""]"|small_scale_evidence|regulates|TFLink|ENSG00000135363|gene|tflink.net|ENSG00000138795|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000141905|gene|tflink.net|ENSG00000128422|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:17109766"", ""pubmed:29087512"", ""pubmed:27924024"", ""pubmed:19778454"", ""pubmed:18679417"", ""pubmed:16628468"", ""pubmed:20300972"", ""pubmed:19662654""]"|small_scale_evidence|regulates|TFLink|ENSG00000168036|gene|tflink.net|ENSG00000110092|gene|9606
"[""GTRD"", ""IntAct_via_DoRothEA"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17202159"", ""pubmed:25202013"", ""pubmed:27924024"", ""pubmed:24234451""]"|small_scale_evidence|regulates|TFLink|ENSG00000172216|gene|tflink.net|ENSG00000113302|gene|9606
"[""GTRD"", ""HTRI"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:20019798"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000134954|gene|tflink.net|ENSG00000110330|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17016446""]"|small_scale_evidence|regulates|TFLink|ENSG00000113580|gene|tflink.net|ENSG00000126767|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:21170267""]"|small_scale_evidence|regulates|TFLink|ENSG00000055118|gene|tflink.net|ENSG00000160180|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000118260|gene|tflink.net|ENSG00000111012|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000111269|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000173039|gene|tflink.net|ENSG00000168036|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000101412|gene|tflink.net|ENSG00000111801|gene|9606
"[""TFactS_via_DoRothea"", ""TRED""]"|inferred by curator|"[""pubmed:17202159"", ""pubmed:22761861"", ""pubmed:16936205""]"|small_scale_evidence|regulates|TFLink|ENSG00000186951|gene|tflink.net|ENSG00000121769|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:16636675"", ""pubmed:27924024"", ""pubmed:18414489"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000091831|gene|tflink.net|ENSG00000091831|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:19608273"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000253293|gene|tflink.net|ENSG00000104903|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:12695333"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000177000|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TFactS_via_DoRothea"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:20976175"", ""pubmed:22761861"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000101412|gene|tflink.net|ENSG00000137801|gene|9606
"[""GTRD"", ""HTRI"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:10713142"", ""pubmed:19941826"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000179348|gene|tflink.net|ENSG00000164867|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:12747840"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000078142|gene|9606
"[""FANTOM4_via_DoRothEA"", ""GTRD"", ""HTRI""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:15208653"", ""pubmed:22900683"", ""pubmed:20211142""]"|small_scale_evidence|regulates|TFLink|ENSG00000158773|gene|tflink.net|ENSG00000135446|gene|9606
"[""TFactS_via_DoRothea""]"|inferred by curator|"[""pubmed:18924150"", ""pubmed:22761861""]"|small_scale_evidence|regulates|TFLink|ENSG00000111087|gene|tflink.net|ENSG00000129422|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:9867862""]"|small_scale_evidence|regulates|TFLink|ENSG00000066336|gene|tflink.net|ENSG00000163464|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:19801654"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000185650|gene|tflink.net|ENSG00000112715|gene|9606
"[""HTRI"", ""TRED""]"|chromatin immunoprecipitation array inferred by curator|"[""pubmed:17531812"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000205250|gene|tflink.net|ENSG00000160179|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000132170|gene|tflink.net|ENSG00000179639|gene|9606
"[""GTRD"", ""IntAct_via_DoRothEA"", ""KEGG_via_DoRothEA"", ""TFactS_via_DoRothea"", ""TFe_via_DoRothEA""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22458515"", ""pubmed:24234451"", ""pubmed:27899662"", ""pubmed:22761861"", ""pubmed:27924024"", ""pubmed:18781224"", ""pubmed:15674333""]"|small_scale_evidence|regulates|TFLink|ENSG00000118689|gene|tflink.net|ENSG00000291237|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:17312387""]"|small_scale_evidence|regulates|TFLink|ENSG00000186470|gene|tflink.net|ENSG00000133818|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:22583899""]"|small_scale_evidence|regulates|TFLink|ENSG00000007372|gene|tflink.net|ENSG00000164434|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:22641673"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000100644|gene|tflink.net|ENSG00000113070|gene|9606
"[""HTRI""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:12444129"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000143390|gene|tflink.net|ENSG00000117322|gene|9606
"[""GTRD"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:23298185"", ""pubmed:23945386"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000184937|gene|tflink.net|ENSG00000039068|gene|9606
"[""FANTOM4_via_DoRothEA"", ""GTRD"", ""HTRI"", ""KEGG_via_DoRothEA"", ""ReMap"", ""TFactS_via_DoRothea"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:10753944"", ""pubmed:10973944"", ""pubmed:10823886"", ""pubmed:29126285"", ""pubmed:27899662"", ""pubmed:10843994"", ""pubmed:10559222"", ""pubmed:12761881"", ""pubmed:15579469"", ""pubmed:20211142"", ""pubmed:10887185"", ""pubmed:22761861"", ""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000166949|gene|tflink.net|ENSG00000101665|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:14623259""]"|small_scale_evidence|regulates|TFLink|ENSG00000159216|gene|tflink.net|ENSG00000101425|gene|9606
"[""FANTOM4_via_DoRothEA"", ""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TFactS_via_DoRothea"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:16738312"", ""pubmed:8119953"", ""pubmed:26578589"", ""pubmed:20211142"", ""pubmed:8264596"", ""pubmed:22761861"", ""pubmed:18971253"", ""pubmed:15618023"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000101412|gene|tflink.net|ENSG00000139687|gene|9606
"[""GTRD"", ""ReMap"", ""TFactS_via_DoRothea""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22761861"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:10068671""]"|small_scale_evidence|regulates|TFLink|ENSG00000115415|gene|tflink.net|ENSG00000196365|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000118260|gene|tflink.net|ENSG00000112592|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:22493435""]"|small_scale_evidence|regulates|TFLink|ENSG00000116044|gene|tflink.net|ENSG00000149124|gene|9606
"[""IntAct_via_DoRothEA"", ""ReMap""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:24234451"", ""pubmed:21620138""]"|small_scale_evidence|regulates|TFLink|ENSG00000143437|gene|tflink.net|ENSG00000172315|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:15988020"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000073282|gene|tflink.net|ENSG00000167880|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:27924024"", ""pubmed:18694960""]"|small_scale_evidence|regulates|TFLink|ENSG00000109320|gene|tflink.net|ENSG00000168394|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:23648481"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000133895|gene|tflink.net|ENSG00000111247|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000067225|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000101412|gene|tflink.net|ENSG00000156958|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:21272048"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000073861|gene|tflink.net|ENSG00000100811|gene|9606
