database|detection_method|evidence|evidence_type|label|source|source_id|source_type|source_url|target_id|target_type|taxon_id
"[""DoRothEA"", ""GTRD"", ""ReMap"", ""TFactS_via_DoRothea"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:31340985"", ""pubmed:18431400"", ""pubmed:22761861"", ""pubmed:27924024"", ""pubmed:10684646"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000141510|gene|tflink.net|ENSG00000105974|gene|9606
"[""TRED"", ""TRRUST""]"|inferred by curator|"[""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:15708372""]"|small_scale_evidence|regulates|TFLink|ENSG00000172845|gene|tflink.net|ENSG00000164344|gene|9606
"[""GTRD"", ""TFactS_via_DoRothea"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:11279127"", ""pubmed:22761861"", ""pubmed:17202159"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000166949|gene|tflink.net|ENSG00000142156|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:15362048""]"|small_scale_evidence|regulates|TFLink|ENSG00000213928|gene|tflink.net|ENSG00000124762|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:17956589"", ""pubmed:29126285""]"|small_scale_evidence|regulates|TFLink|ENSG00000020633|gene|tflink.net|ENSG00000162734|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000166828|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:20516075"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000171720|gene|tflink.net|ENSG00000110245|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:15339794""]"|small_scale_evidence|regulates|TFLink|ENSG00000101665|gene|tflink.net|ENSG00000137776|gene|9606
"[""IntAct_via_DoRothEA""]"|inferred by curator|"[""pubmed:25314079"", ""pubmed:24234451""]"|small_scale_evidence|regulates|TFLink|ENSG00000124216|gene|tflink.net|ENSG00000232810|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:21873665""]"|small_scale_evidence|regulates|TFLink|ENSG00000164093|gene|tflink.net|ENSG00000158296|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:18652845""]"|small_scale_evidence|regulates|TFLink|ENSG00000124496|gene|tflink.net|ENSG00000121594|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""TFactS_via_DoRothea""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:26578589"", ""pubmed:11322887"", ""pubmed:22761861"", ""pubmed:18971253"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000066336|gene|tflink.net|ENSG00000196188|gene|9606
