database|detection_method|evidence|evidence_type|label|source_id|source_type|target_id|target_type|taxon_id
"[""GTRD"", ""ORegAnno"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:18206366"", ""pubmed:26578589"", ""pubmed:27924024"", ""pubmed:15691879"", ""pubmed:29087512""]"|small_scale_evidence|regulates|ENSG00000185591|gene|ENSG00000133315|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:11429551"", ""pubmed:10886240"", ""pubmed:9300692"", ""pubmed:27924024"", ""pubmed:11889043"", ""pubmed:29087512"", ""pubmed:9600954""]"|small_scale_evidence|regulates|ENSG00000179583|gene|ENSG00000204287|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:20565746""]"|small_scale_evidence|regulates|ENSG00000253293|gene|ENSG00000115738|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:18496767"", ""pubmed:29087512""]"|small_scale_evidence|regulates|ENSG00000001167|gene|ENSG00000203883|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:14563113""]"|small_scale_evidence|regulates|ENSG00000179583|gene|ENSG00000117560|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:10074115""]"|small_scale_evidence|regulates|ENSG00000104825|gene|ENSG00000171855|gene|9606
"[""GTRD"", ""IntAct_via_DoRothEA"", ""ReMap""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:24234451"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:19299714""]"|small_scale_evidence|regulates|ENSG00000095794|gene|ENSG00000114013|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:22580340"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|ENSG00000185591|gene|ENSG00000103342|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|ENSG00000205250|gene|ENSG00000134871|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:29087512"", ""pubmed:8055899""]"|small_scale_evidence|regulates|ENSG00000179284|gene|ENSG00000177030|gene|9606
"[""TRED"", ""TRRUST""]"|inferred by curator|"[""pubmed:17202159"", ""pubmed:10523830"", ""pubmed:29087512"", ""pubmed:12724402""]"|small_scale_evidence|regulates|ENSG00000151702|gene|ENSG00000102145|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:24007274""]"|small_scale_evidence|regulates|ENSG00000122877|gene|ENSG00000128342|gene|9606
"[""FANTOM4_via_DoRothEA""]"|inferred by curator|"[""pubmed:15062550"", ""pubmed:20211142""]"|small_scale_evidence|regulates|ENSG00000125618|gene|ENSG00000152804|gene|9606
"[""GTRD"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:20137375"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|ENSG00000173039|gene|ENSG00000100889|gene|9606
