label|rfam|source_id|source_type|target_id|target_type|taxon_id
located_in|Rfam:RF00026|URS00000019BC|non_coding_rna|GO_0005688|cellular_component|9606
located_in|Rfam:RF00026|URS00000019BC|non_coding_rna|GO_0046540|cellular_component|9606
located_in|Rfam:RF00027|URS0000001A7A|non_coding_rna|GO_0016442|cellular_component|9606
