label|rel_type|source_id|source_type|target_id|target_type
is_a|subclass|UBERON_0000924|anatomy|UBERON_0000923|anatomy
is_a|subclass|UBERON_0000926|anatomy|UBERON_0000923|anatomy
is_a|subclass|UBERON_0000925|anatomy|UBERON_0000923|anatomy
is_a|subclass|UBERON_0006915|anatomy|UBERON_0000486|anatomy
is_a|subclass|UBERON_0006915|anatomy|UBERON_0006914|anatomy
is_a|subclass|UBERON_0010077|anatomy|UBERON_0000483|anatomy
is_a|subclass|UBERON_0000970|anatomy|UBERON_0000020|anatomy
is_a|subclass|UBERON_0003126|anatomy|UBERON_0000117|anatomy
is_a|subclass|UBERON_0001821|anatomy|UBERON_0007771|anatomy
is_a|subclass|UBERON_0001821|anatomy|UBERON_0012344|anatomy
is_a|subclass|UBERON_0001821|anatomy|UBERON_0019319|anatomy
is_a|subclass|UBERON_0004821|anatomy|UBERON_0000115|anatomy
is_a|subclass|UBERON_0004821|anatomy|UBERON_0000487|anatomy
