source	target	score
ENSG00000121410	ENSG00000109475	2.70
ENSG00000121410	ENSG00000067445	2.69
ENSG00000121410	ENSG00000198816	2.68
ENSG00000121410	ENSG00000213741	2.68
ENSG00000121410	ENSG00000130255	2.68
ENSG00000121410	ENSG00000176533	2.67
ENSG00000121410	ENSG00000124243	2.67
ENSG00000121410	ENSG00000160469	2.67
ENSG00000121410	ENSG00000256060	2.67
ENSG00000121410	ENSG00000142227	2.67
ENSG00000121410	ENSG00000198258	2.66
ENSG00000121410	ENSG00000120742	2.66
ENSG00000121410	ENSG00000228300	2.65
ENSG00000121410	ENSG00000141698	2.65
ENSG00000121410	ENSG00000130312	2.65
ENSG00000121410	ENSG00000103260	2.64
ENSG00000121410	ENSG00000174886	2.63
ENSG00000121410	ENSG00000203875	2.62
ENSG00000121410	ENSG00000147123	2.61
ENSG00000121410	ENSG00000183971	2.61
ENSG00000121410	ENSG00000179965	2.61
ENSG00000121410	ENSG00000196110	2.61
ENSG00000121410	ENSG00000197860	2.60
ENSG00000121410	ENSG00000076662	2.60
ENSG00000121410	ENSG00000127220	2.59
ENSG00000121410	ENSG00000104976	2.59
ENSG00000121410	ENSG00000128185	2.59
ENSG00000121410	ENSG00000186395	2.58
ENSG00000121410	ENSG00000100097	2.58
ENSG00000121410	ENSG00000177700	2.58
ENSG00000121410	ENSG00000174851	2.57
ENSG00000121410	ENSG00000126458	2.57
ENSG00000121410	ENSG00000168273	2.57
ENSG00000121410	ENSG00000291085	2.56
ENSG00000121410	ENSG00000103152	2.56
ENSG00000121410	ENSG00000099795	2.55
ENSG00000121410	ENSG00000152475	2.55
ENSG00000121410	ENSG00000160226	2.55
ENSG00000121410	ENSG00000172590	2.54
ENSG00000121410	ENSG00000213221	2.54
ENSG00000121410	ENSG00000143543	2.54
ENSG00000121410	ENSG00000182196	2.54
ENSG00000121410	ENSG00000142552	2.54
ENSG00000121410	ENSG00000175854	2.53
ENSG00000121410	ENSG00000198856	2.53
ENSG00000121410	ENSG00000105193	2.53
ENSG00000121410	ENSG00000099624	2.53
ENSG00000121410	ENSG00000130517	2.52
ENSG00000121410	ENSG00000184924	2.52
ENSG00000121410	ENSG00000100300	2.52
ENSG00000121410	ENSG00000161835	2.51
ENSG00000121410	ENSG00000122194	2.51
ENSG00000121410	ENSG00000127585	2.51
ENSG00000121410	ENSG00000186300	2.50
ENSG00000121410	ENSG00000110711	2.49
ENSG00000121410	ENSG00000178449	2.49
ENSG00000121410	ENSG00000130203	2.49
ENSG00000121410	ENSG00000164405	2.49
ENSG00000121410	ENSG00000213015	2.48
ENSG00000121410	ENSG00000196683	2.48
ENSG00000121410	ENSG00000157131	2.48
ENSG00000121410	ENSG00000131469	2.47
ENSG00000121410	ENSG00000137103	2.47
ENSG00000121410	ENSG00000239282	2.47
ENSG00000121410	ENSG00000156973	2.46
ENSG00000121410	ENSG00000167468	2.46
ENSG00000121410	ENSG00000140264	2.46
ENSG00000121410	ENSG00000245910	2.46
ENSG00000121410	ENSG00000221946	2.45
ENSG00000121410	ENSG00000023902	2.45
ENSG00000121410	ENSG00000137070	2.44
ENSG00000121410	ENSG00000204653	2.44
ENSG00000121410	ENSG00000197756	2.44
ENSG00000121410	ENSG00000169020	2.44
ENSG00000121410	ENSG00000203896	2.43
ENSG00000121410	ENSG00000239779	2.43
ENSG00000121410	ENSG00000170889	2.43
ENSG00000121410	ENSG00000134463	2.42
ENSG00000121410	ENSG00000138080	2.42
ENSG00000121410	ENSG00000105255	2.42
ENSG00000121410	ENSG00000124614	2.41
ENSG00000121410	ENSG00000214274	2.41
ENSG00000121410	ENSG00000266964	2.41
ENSG00000121410	ENSG00000110169	2.41
ENSG00000121410	ENSG00000141971	2.41
ENSG00000121410	ENSG00000242852	2.41
ENSG00000121410	ENSG00000187601	2.41
ENSG00000121410	ENSG00000126756	2.41
ENSG00000121410	ENSG00000007255	2.41
ENSG00000121410	ENSG00000142684	2.41
ENSG00000121410	ENSG00000174165	2.41
ENSG00000121410	ENSG00000177556	2.41
ENSG00000121410	ENSG00000174917	2.39
ENSG00000121410	ENSG00000112667	2.39
ENSG00000121410	ENSG00000102781	2.39
ENSG00000121410	ENSG00000105518	2.39
ENSG00000121410	ENSG00000105258	2.38
ENSG00000121410	ENSG00000105640	2.38
ENSG00000121410	ENSG00000101194	2.38
ENSG00000121410	ENSG00000174939	2.38
ENSG00000121410	ENSG00000165716	2.38
ENSG00000121410	ENSG00000103227	2.37
ENSG00000121410	ENSG00000233276	2.37
ENSG00000121410	ENSG00000106333	2.37
ENSG00000121410	ENSG00000262664	2.37
ENSG00000121410	ENSG00000124172	2.36
ENSG00000121410	ENSG00000053501	2.36
ENSG00000121410	ENSG00000118137	2.36
ENSG00000121410	ENSG00000169976	2.36
ENSG00000121410	ENSG00000099330	2.36
ENSG00000121410	ENSG00000099326	2.35
ENSG00000121410	ENSG00000099769	2.35
ENSG00000121410	ENSG00000291164	2.35
ENSG00000121410	ENSG00000204524	2.35
ENSG00000121410	ENSG00000106330	2.35
ENSG00000121410	ENSG00000125656	2.35
ENSG00000121410	ENSG00000167685	2.34
ENSG00000121410	ENSG00000073169	2.34
ENSG00000121410	ENSG00000136942	2.34
ENSG00000121410	ENSG00000177954	2.34
ENSG00000121410	ENSG00000244486	2.34
ENSG00000121410	ENSG00000037757	2.33
ENSG00000121410	ENSG00000063241	2.33
ENSG00000121410	ENSG00000115232	2.33
ENSG00000121410	ENSG00000205593	2.33
ENSG00000121410	ENSG00000239636	2.33
ENSG00000121410	ENSG00000007047	2.33
ENSG00000121410	ENSG00000116670	2.33
ENSG00000121410	ENSG00000160050	2.32
ENSG00000121410	ENSG00000128626	2.32
ENSG00000121410	ENSG00000123349	2.32
ENSG00000121410	ENSG00000071082	2.31
ENSG00000121410	ENSG00000055957	2.31
ENSG00000121410	ENSG00000005075	2.31
ENSG00000121410	ENSG00000169567	2.31
ENSG00000121410	ENSG00000291156	2.31
ENSG00000121410	ENSG00000176531	2.31
ENSG00000121410	ENSG00000166441	2.31
ENSG00000121410	ENSG00000175482	2.30
ENSG00000121410	ENSG00000123453	2.29
ENSG00000121410	ENSG00000185614	2.29
ENSG00000121410	ENSG00000145740	2.29
ENSG00000121410	ENSG00000125743	2.29
ENSG00000121410	ENSG00000177380	2.29
ENSG00000121410	ENSG00000177732	2.29
ENSG00000121410	ENSG00000151135	2.28
ENSG00000121410	ENSG00000266402	2.28
ENSG00000121410	ENSG00000179271	2.28
ENSG00000121410	ENSG00000086506	2.27
ENSG00000121410	ENSG00000170906	2.27
ENSG00000121410	ENSG00000257704	2.27
ENSG00000121410	ENSG00000213402	2.27
ENSG00000121410	ENSG00000176401	2.27
ENSG00000121410	ENSG00000129968	2.26
ENSG00000121410	ENSG00000229833	2.26
ENSG00000121410	ENSG00000161298	2.26
ENSG00000121410	ENSG00000186577	2.25
ENSG00000121410	ENSG00000116544	2.25
ENSG00000121410	ENSG00000171827	2.25
ENSG00000121410	ENSG00000164587	2.25
ENSG00000121410	ENSG00000198937	2.25
ENSG00000121410	ENSG00000198918	2.24
ENSG00000121410	ENSG00000099337	2.24
ENSG00000121410	ENSG00000158716	2.24
ENSG00000121410	ENSG00000176490	2.24
ENSG00000121410	ENSG00000102109	2.24
ENSG00000121410	ENSG00000165475	2.24
ENSG00000121410	ENSG00000134419	2.23
ENSG00000121410	ENSG00000270673	2.23
ENSG00000121410	ENSG00000149932	2.23
ENSG00000121410	ENSG00000080618	2.23
ENSG00000121410	ENSG00000145592	2.22
ENSG00000121410	ENSG00000198931	2.22
ENSG00000121410	ENSG00000165471	2.22
ENSG00000121410	ENSG00000203778	2.21
ENSG00000121410	ENSG00000103145	2.21
ENSG00000121410	ENSG00000262919	2.20
ENSG00000121410	ENSG00000234741	2.19
ENSG00000121410	ENSG00000251369	2.19
