db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211947|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|part_of|"[""located_in""]"|ENSG00000211951|gene|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211951|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|part_of|"[""located_in""]"|ENSG00000211976|gene|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211976|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|part_of|"[""located_in""]"|ENSG00000211979|gene|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211979|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|part_of|"[""located_in""]"|ENSG00000224650|gene|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000224650|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|part_of|"[""located_in""]"|ENSG00000232216|gene|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000232216|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|part_of|"[""located_in""]"|ENSG00000223350|gene|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000223350|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|part_of|"[""located_in""]"|ENSG00000225698|gene|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000225698|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|part_of|"[""located_in""]"|ENSG00000242580|gene|GO_0005886|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000242580|gene|GO_0019814|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211767|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211776|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211791|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211786|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000256553|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211784|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211788|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211777|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211785|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000255569|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211779|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211795|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211818|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211816|gene|GO_0042101|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|ENSG00000211812|gene|GO_0042101|cellular_component|9606
