db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A4D1E9|protein|GO_0042254|biological_process|9606
"[""GO_REF:0000002""]"|IEA|involved_in|"[""involved_in""]"|A4D1F6|protein|GO_0007165|biological_process|9606
"[""PMID:27126989""]"|IMP|involved_in|"[""involved_in""]"|A4D1P6|protein|GO_0042176|biological_process|9606
"[""PMID:26783301""]"|IMP|involved_in|"[""involved_in""]"|A4D1P6|protein|GO_0043551|biological_process|9606
"[""PMID:26783301""]"|IMP|involved_in|"[""involved_in""]"|A4D1P6|protein|GO_0045022|biological_process|9606
"[""GO_REF:0000002""]"|IEA|involved_in|"[""involved_in""]"|A4D1T9|protein|GO_0006508|biological_process|9606
"[""GO_REF:0000024""]"|ISS|involved_in|"[""involved_in""]"|A4D1T9|protein|GO_0007339|biological_process|9606
"[""GO_REF:0000107""]"|IEA|involved_in|"[""involved_in""]"|A4D1T9|protein|GO_0008354|biological_process|9606
"[""GO_REF:0000024""]"|ISS|involved_in|"[""involved_in""]"|A4D1T9|protein|GO_0016477|biological_process|9606
"[""GO_REF:0000024""]"|ISS|involved_in|"[""involved_in""]"|A4D1T9|protein|GO_0051604|biological_process|9606
"[""PMID:27649891""]"|IMP|involved_in|"[""involved_in""]"|A4D1T9|protein|GO_0070613|biological_process|9606
"[""GO_REF:0000024""]"|ISS|involved_in|"[""involved_in""]"|A4D1T9|protein|GO_1905516|biological_process|9606
"[""PMID:27649891""]"|IMP|involved_in|"[""involved_in""]"|A4D1T9|protein|GO_2000344|biological_process|9606
"[""GO_REF:0000002""]"|IEA|involved_in|"[""involved_in""]"|A4D256|protein|GO_0006470|biological_process|9606
"[""GO_REF:0000024""]"|ISS|involved_in|"[""involved_in""]"|A4D263|protein|GO_0007283|biological_process|9606
"[""GO_REF:0000015""]"|ND|involved_in|"[""involved_in""]"|A4D263|protein|GO_0008150|biological_process|9606
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|A4D263|protein|GO_0030154|biological_process|9606
"[""PMID:30507380""]"|IMP|involved_in|"[""involved_in""]"|A4D2B0|protein|GO_0008334|biological_process|9606
"[""PMID:30507380""]"|IMP|involved_in|"[""involved_in""]"|A4D2B0|protein|GO_0031124|biological_process|9606
